# x u
3.446893692016601562e-01 8.856122195720672607e-02
3.466933965682983398e-01 6.616587191820144653e-02
3.486973941326141357e-01 4.381749778985977173e-02
3.507014214992523193e-01 2.155945822596549988e-02
3.527054190635681152e-01 -5.635126726701855659e-04
3.547094166278839111e-01 -2.250872738659381866e-02
3.567134439945220947e-01 -4.423418641090393066e-02
3.587174415588378906e-01 -6.569727510213851929e-02
3.607214391231536865e-01 -8.685763180255889893e-02
3.627254664897918701e-01 -1.076758056879043579e-01
3.647294640541076660e-01 -1.281120181083679199e-01
3.667334616184234619e-01 -1.481288820505142212e-01
3.687374889850616455e-01 -1.676901578903198242e-01
3.707414865493774414e-01 -1.867595016956329346e-01
3.727454841136932373e-01 -2.053035646677017212e-01
3.747495114803314209e-01 -2.232885956764221191e-01
3.767535090446472168e-01 -2.406839579343795776e-01
3.787575066089630127e-01 -2.574587464332580566e-01
3.807615339756011963e-01 -2.735851705074310303e-01
3.827655315399169922e-01 -2.890353798866271973e-01
3.847695589065551758e-01 -3.037842512130737305e-01
3.867735564708709717e-01 -3.178082704544067383e-01
3.887775540351867676e-01 -3.310844898223876953e-01
3.907815814018249512e-01 -3.435929119586944580e-01
3.927855789661407471e-01 -3.553141653537750244e-01
3.947895765304565430e-01 -3.662313222885131836e-01
3.967936038970947266e-01 -3.763291835784912109e-01
3.987976014614105225e-01 -3.855936825275421143e-01
4.008015990257263184e-01 -3.940131664276123047e-01
4.028056263923645020e-01 -4.015777409076690674e-01
4.048096239566802979e-01 -4.082787036895751953e-01
4.068136215209960938e-01 -4.141097664833068848e-01
4.088176488876342773e-01 -4.190663397312164307e-01
4.108216464519500732e-01 -4.231452345848083496e-01
4.128256440162658691e-01 -4.263453781604766846e-01
4.148296713829040527e-01 -4.286675453186035156e-01
4.168336689472198486e-01 -4.301139116287231445e-01
4.188376665115356445e-01 -4.306886494159698486e-01
4.208416938781738281e-01 -4.303975999355316162e-01
4.228456914424896240e-01 -4.292482137680053711e-01
4.248497188091278076e-01 -4.272496104240417480e-01
4.268537163734436035e-01 -4.244126677513122559e-01
4.288577139377593994e-01 -4.207496643066406250e-01
4.308617413043975830e-01 -4.162745475769042969e-01
4.328657388687133789e-01 -4.110026955604553223e-01
4.348697364330291748e-01 -4.049511849880218506e-01
4.368737637996673584e-01 -3.981380760669708252e-01
4.388777613639831543e-01 -3.905833363533020020e-01
4.408817589282989502e-01 -3.823079168796539307e-01
4.428857862949371338e-01 -3.733339011669158936e-01
4.448897838592529297e-01 -3.636851608753204346e-01
4.468937814235687256e-01 -3.533862233161926270e-01
4.488978087902069092e-01 -3.424626886844635010e-01
4.509018063545227051e-01 -3.309417068958282471e-01
4.529058039188385010e-01 -3.188510239124298096e-01
4.549098312854766846e-01 -3.062189817428588867e-01
4.569138288497924805e-01 -2.930757105350494385e-01
4.589178562164306641e-01 -2.794510424137115479e-01
4.609218537807464600e-01 -2.653766274452209473e-01
4.629258513450622559e-01 -2.508839666843414307e-01
4.649298787117004395e-01 -2.360050082206726074e-01
4.669338762760162354e-01 -2.207732051610946655e-01
4.689378738403320312e-01 -2.052215784788131714e-01
4.709419012069702148e-01 -1.893833875656127930e-01
4.729458987712860107e-01 -1.732932925224304199e-01
4.749498963356018066e-01 -1.569847911596298218e-01
4.769539237022399902e-01 -1.404929161071777344e-01
4.789579212665557861e-01 -1.238514184951782227e-01
4.809619188308715820e-01 -1.070954725146293640e-01
4.829659461975097656e-01 -9.025881439447402954e-02
4.849699437618255615e-01 -7.337643951177597046e-02
4.869739413261413574e-01 -5.648211762309074402e-02
4.889779686927795410e-01 -3.960939124226570129e-02
4.909819662570953369e-01 -2.279252186417579651e-02
4.929859638214111328e-01 -6.064339540898799896e-03
4.949899911880493164e-01 1.054276339709758759e-02
4.969939887523651123e-01 2.699584513902664185e-02
4.989980161190032959e-01 4.326392337679862976e-02
5.010019540786743164e-01 5.931492522358894348e-02
5.030059814453125000e-01 7.511951029300689697e-02
5.050100088119506836e-01 9.064802527427673340e-02
5.070140361785888672e-01 1.058712899684906006e-01
5.090180635452270508e-01 1.207613199949264526e-01
5.110220313072204590e-01 1.352903246879577637e-01
5.130260586738586426e-01 1.494334489107131958e-01
5.150300264358520508e-01 1.631645262241363525e-01
5.170340538024902344e-01 1.764596998691558838e-01
5.190380811691284180e-01 1.892961412668228149e-01
5.210421085357666016e-01 2.016515582799911499e-01
5.230460762977600098e-01 2.135048657655715942e-01
5.250501036643981934e-01 2.248365581035614014e-01
5.270540714263916016e-01 2.356282174587249756e-01
5.290580987930297852e-01 2.458627521991729736e-01
5.310621261596679688e-01 2.555239200592041016e-01
5.330661535263061523e-01 2.645967602729797363e-01
5.350701212882995605e-01 2.730681300163269043e-01
5.370741486549377441e-01 2.809259593486785889e-01
5.390781164169311523e-01 2.881589829921722412e-01
5.410821437835693359e-01 2.947583496570587158e-01
5.430861711502075195e-01 3.007155656814575195e-01
5.450901985168457031e-01 3.060238957405090332e-01
5.470942258834838867e-01 3.106779158115386963e-01
5.490981936454772949e-01 3.146732747554779053e-01
5.511021614074707031e-01 3.180075883865356445e-01
5.531061887741088867e-01 3.206794857978820801e-01
5.551102161407470703e-01 3.226888179779052734e-01
5.571142435073852539e-01 3.240368068218231201e-01
5.591182708740234375e-01 3.247260749340057373e-01
5.611222386360168457e-01 3.247604370117187500e-01
5.631262063980102539e-01 3.241451680660247803e-01
5.651302337646484375e-01 3.228866159915924072e-01
5.671342611312866211e-01 3.209924399852752686e-01
5.691382884979248047e-01 3.184714615345001221e-01
5.711423158645629883e-01 3.153338134288787842e-01
5.731462836265563965e-01 3.115907013416290283e-01
5.751502513885498047e-01 3.072544932365417480e-01
5.771542787551879883e-01 3.023383021354675293e-01
5.791583061218261719e-01 2.968567907810211182e-01
5.811623334884643555e-01 2.908253967761993408e-01
5.831663608551025391e-01 2.842607498168945312e-01
5.851703286170959473e-01 2.771801054477691650e-01
5.871743559837341309e-01 2.696015536785125732e-01
5.891783237457275391e-01 2.615447640419006348e-01
5.911823511123657227e-01 2.530289292335510254e-01
5.931863784790039062e-01 2.440751343965530396e-01
5.951904058456420898e-01 2.347047030925750732e-01
5.971943736076354980e-01 2.249401807785034180e-01
5.991984009742736816e-01 2.148033976554870605e-01
6.012023687362670898e-01 2.043184638023376465e-01
6.032063961029052734e-01 1.935082226991653442e-01
6.052104234695434570e-01 1.823973208665847778e-01
6.072144508361816406e-01 1.710104048252105713e-01
6.092184185981750488e-01 1.593729406595230103e-01
6.112224459648132324e-01 1.475091725587844849e-01
6.132264137268066406e-01 1.354454457759857178e-01
6.152304410934448242e-01 1.232069060206413269e-01
6.172344684600830078e-01 1.108199656009674072e-01
6.192384958267211914e-01 9.831006824970245361e-02
6.212425231933593750e-01 8.570344746112823486e-02
6.232464909553527832e-01 7.302664220333099365e-02
6.252504587173461914e-01 6.030475720763206482e-02
6.272544860839843750e-01 4.756358265876770020e-02
6.292585134506225586e-01 3.482902050018310547e-02
6.312625408172607422e-01 2.212675102055072784e-02
6.332665681838989258e-01 9.481384418904781342e-03
6.352705359458923340e-01 -3.081713803112506866e-03
6.372745037078857422e-01 -1.553808152675628662e-02
6.392785310745239258e-01 -2.786445617675781250e-02
6.412825584411621094e-01 -4.003669321537017822e-02
6.432865858078002930e-01 -5.203168839216232300e-02
6.452906131744384766e-01 -6.382686644792556763e-02
6.472945809364318848e-01 -7.539973407983779907e-02
6.492985486984252930e-01 -8.672945201396942139e-02
6.513025760650634766e-01 -9.779574722051620483e-02
6.533066034317016602e-01 -1.085781529545783997e-01
6.553106307983398438e-01 -1.190573349595069885e-01
6.573146581649780273e-01 -1.292147636413574219e-01
6.593186259269714355e-01 -1.390322893857955933e-01
6.613226532936096191e-01 -1.484938114881515503e-01
6.633266210556030273e-01 -1.575827002525329590e-01
6.653306484222412109e-01 -1.662839055061340332e-01
6.673346757888793945e-01 -1.745832711458206177e-01
6.693387031555175781e-01 -1.824672967195510864e-01
6.713426709175109863e-01 -1.899233311414718628e-01
6.733466982841491699e-01 -1.969400346279144287e-01
6.753506660461425781e-01 -2.035069316625595093e-01
6.773546934127807617e-01 -2.096146047115325928e-01
6.793587207794189453e-01 -2.152543216943740845e-01
6.813627481460571289e-01 -2.204184383153915405e-01
6.833667159080505371e-01 -2.251005917787551880e-01
6.853707432746887207e-01 -2.292953580617904663e-01
6.873747110366821289e-01 -2.329979091882705688e-01
6.893787384033203125e-01 -2.362051755189895630e-01
6.913827657699584961e-01 -2.389144748449325562e-01
6.933867931365966797e-01 -2.411243915557861328e-01
6.953908205032348633e-01 -2.428344786167144775e-01
6.973947882652282715e-01 -2.440452426671981812e-01
6.993987560272216797e-01 -2.447583824396133423e-01
7.014027833938598633e-01 -2.449764311313629150e-01
7.034068107604980469e-01 -2.447028607130050659e-01
